url|status|local_path|size_bytes
http://imerrow.com/nebula/inventory/large_inventory/00DE.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/00DE.jpg|574759
http://imerrow.com/nebula/inventory/large_inventory/0D.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/0D.jpg|601752
http://imerrow.com/nebula/inventory/large_inventory/0DE.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/0DE.jpg|646206
http://imerrow.com/nebula/inventory/large_inventory/0DT.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/0DT.jpg|656013
http://imerrow.com/nebula/inventory/large_inventory/1-114.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/1-114.jpg|36633
http://imerrow.com/nebula/inventory/large_inventory/1-114NUT.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/1-114NUT.jpg|45853
http://imerrow.com/nebula/inventory/large_inventory/1-118.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/1-118.jpg|32248
http://imerrow.com/nebula/inventory/large_inventory/1-118N.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/1-118N.jpg|45183
http://imerrow.com/nebula/inventory/large_inventory/1-2AMP6.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/merrow_inventory/1-2AMP6.jpg|40173
http://imerrow.com/nebula/inventory/large_inventory/1-3116.jpg|FOUND|/Users/charliemerrow/LOCAL_AI_DATA_LAKE/_STATION_LABS/dev/merrow/imerrow-backup/nebula/inventory/large_inventory/1-3116.jpg|41222
